BLUE,GREEN,RED,NIR,SWIR
3740.0,3885.0,3920.5,3857.0,5298.5
595.0,649.6667,1635.0,1915.0,3498.0
399.0,606.0,392.875,3128.0,1818.5
714.3333,1042.6666,998.0,3152.8,2858.0
376.0,532.0,365.25,2710.0,1789.3334
2425.0,3019.0,2900.0,3091.0,2562.0
404.0,532.25,369.66666,2752.0,1920.8334
922.6667,1012.0,1068.0,1621.2,2211.6667
696.25,1046.0,836.0,3247.0,2663.5
967.0,993.0,1089.0,1254.0,2271.5
727.0,1064.0,867.3333,3379.0,2616.0
410.0,582.3333,381.0,3186.0,2042.75
1041.5,1098.5,1329.0,1528.5,2385.5
742.75,1056.5,867.0,3202.0,2659.1667
1061.0,1144.75,1135.0,1554.5,1797.0
1128.6666,1116.0,1218.0,1444.6666,2389.6667
614.0,652.5,1618.0,1898.0,3427.0
986.1667,1012.6667,1005.5,1140.6666,1461.5
1283.0,1466.0,1464.6666,1686.2,1798.3334
882.5,927.0,1050.6666,1286.0,2280.0
397.0,606.5,388.0,2981.3333,1969.0
1030.0,1161.0,1293.0,1864.0,2195.0
1055.0,1135.5,1160.0,1265.0,1584.25
1392.5,1509.0,1556.6666,1655.0,1825.2
370.66666,516.6667,350.25,3056.5,1888.9584
1217.0,1401.2,1580.0,1782.0,2485.0
714.5,1050.4,842.0,3293.5,2672.25
373.0,533.5,402.33334,2947.0,2040.0
700.5,1018.75,973.0,3121.25,2819.0
392.75,566.75,379.6,3120.0,1983.25
1276.6666,1370.0,1370.0,1444.6666,1885.3334
1000.4,1145.3334,1062.3334,1930.0,2032.5
1173.6,1092.8,1109.3334,1622.6666,2545.0
681.0,1011.5,818.3333,3430.6667,2598.5
1917.0,2370.0,2264.0,2617.0,2415.0
752.0,1088.0,949.5,3183.3333,2886.5
644.0,700.0,1716.4,1970.0,3427.0
951.5,934.5,940.75,1293.0,2114.0
1000.7143,1058.0,1197.0,1620.0,2120.0
662.75,1018.25,784.0,3244.6667,2649.0
388.0,561.0,370.0,3304.0,1975.25
775.5,1037.5,917.0,3318.5,2945.4167
378.0,553.0,353.5,3227.0,2010.0
1160.0,1210.8,1226.0,1255.3334,1591.0
905.6667,1060.0,1002.3333,2101.6,2032.0
701.0,1054.8334,831.5,3312.3333,2636.3333
373.66666,540.6667,347.4,3248.0,1990.4286
386.66666,562.8333,375.0,3396.0,2110.5
