BLUE,GREEN,RED,NIR,NDVI,Landcover
0.03885,0.04495,0.0228,0.00895,0.07279239,water
0.0404,0.04875,0.0262,0.00945,0.093662366,water
0.04045,0.0496,0.0272,0.0092,0.10161024,water
0.04245,0.0505,0.0279,0.00935,0.08660572,water
0.0427,0.0509,0.0277,0.00905,0.08760684,water
0.0419,0.04995,0.02705,0.00885,0.08764288,water
0.04155,0.0506,0.02735,0.0086,0.09820944,water
0.0425,0.0537,0.0303,0.0086,0.116424106,water
0.0409,0.0469,0.0263,0.0083,0.06833714,water
0.0409,0.0477,0.0276,0.0085,0.07674944,water
0.0408,0.0465,0.0279,0.0083,0.06529209,water
0.0409,0.0472,0.0269,0.008,0.071509674,water
0.0398,0.0465,0.0283,0.0077,0.077636175,water
0.03915,0.0453,0.02625,0.00755,0.07282416,water
0.04005,0.04585,0.0267,0.00765,0.06752039,water
0.04005,0.04585,0.0267,0.00765,0.06752039,water
0.03935,0.0481,0.027,0.0079,0.10005717,water
0.03915,0.04555,0.0243,0.00695,0.0755608,water
0.0397,0.04625,0.024,0.00715,0.07620709,water
0.0411,0.05035,0.0263,0.00745,0.10114817,water
0.0421,0.05025,0.02685,0.0077,0.08825121,water
0.0419,0.05015,0.02715,0.00755,0.08962518,water
0.04135,0.0493,0.02735,0.00805,0.08769995,water
0.0405,0.04905,0.0276,0.0081,0.09547738,water
0.0421,0.04905,0.028,0.0083,0.07624792,water
0.04155,0.04915,0.02855,0.00845,0.083792746,water
0.043,0.0522,0.0282,0.0091,0.09663864,water
0.0411,0.0522,0.0279,0.0085,0.11897108,water
0.041,0.0512,0.0284,0.0085,0.110629044,water
0.0414,0.0508,0.0277,0.0086,0.10195227,water
0.042,0.0516,0.0283,0.0086,0.10256412,water
0.0425,0.0534,0.029,0.0098,0.113660045,water
0.0399,0.0524,0.0294,0.0108,0.13542795,water
0.0419,0.0533,0.0302,0.0107,0.11974789,water
0.043,0.0518,0.0289,0.011,0.092827,water
0.0429,0.0518,0.0299,0.0113,0.093981005,water
0.042,0.0518,0.0316,0.0117,0.10447763,water
0.041,0.0514,0.0319,0.012,0.11255408,water
0.0422,0.0514,0.0321,0.0119,0.09829059,water
0.0451,0.0514,0.0326,0.0124,0.06528496,water
0.0437,0.0507,0.0298,0.012,0.074152574,water
0.043,0.0507,0.031,0.0129,0.082177155,water
0.0465,0.0513,0.0313,0.0125,0.049079746,water
0.0449,0.0515,0.0305,0.0135,0.068464726,water
0.04345,0.0508,0.03085,0.01375,0.07798406,water
0.04335,0.0512,0.0312,0.0145,0.083024845,water
0.04335,0.0512,0.0312,0.0145,0.083024845,water
0.0447,0.05235,0.0314,0.01525,0.07882534,water
0.04525,0.0547,0.03075,0.01615,0.09454727,water
0.0451,0.05275,0.03035,0.01685,0.07818089,water
0.0411,0.04765,0.02275,0.01065,0.07380281,water
0.03925,0.04645,0.02255,0.00985,0.08401398,water
0.0388,0.04695,0.0219,0.0094,0.09504373,water
0.03875,0.0464,0.02185,0.00855,0.08984144,water
0.04005,0.04585,0.02235,0.0095,0.06752039,water
0.0389,0.04505,0.02375,0.00915,0.07325789,water
0.0392,0.04645,0.0237,0.00865,0.08464682,water
0.0417,0.0493,0.02745,0.00955,0.083516456,water
0.04285,0.0507,0.02845,0.0096,0.08391237,water
0.0431,0.05065,0.02865,0.0085,0.08053335,water
0.04285,0.0502,0.02785,0.00905,0.078989804,water
0.04215,0.05045,0.0273,0.00875,0.089632854,water
0.0428,0.0539,0.0278,0.0089,0.11478799,water
0.0408,0.0542,0.0274,0.0083,0.14105263,water
0.0401,0.0542,0.0279,0.0088,0.1495228,water
0.0412,0.0487,0.0279,0.0083,0.08342603,water
0.0412,0.0499,0.0277,0.0088,0.09549943,water
0.0401,0.0491,0.0282,0.0082,0.10089685,water
0.03925,0.0459,0.02525,0.00805,0.07809744,water
0.04035,0.04985,0.0257,0.0078,0.105321474,water
0.04035,0.04985,0.0257,0.0078,0.105321474,water
0.0401,0.0452,0.0237,0.0073,0.059788987,water
0.0401,0.0456,0.02445,0.007,0.06417736,water
0.0395,0.04645,0.0246,0.0078,0.08086094,water
0.0418,0.0501,0.02715,0.00735,0.09031555,water
0.0422,0.0498,0.02755,0.00775,0.082608715,water
0.04165,0.0507,0.028,0.00765,0.09799675,water
0.04135,0.04935,0.0282,0.0079,0.08820288,water
0.04175,0.0493,0.0282,0.00795,0.08292148,water
0.04185,0.0493,0.0287,0.0084,0.0817334,water
0.04175,0.0492,0.02795,0.0085,0.081913136,water
0.0422,0.052,0.0289,0.0088,0.10403399,water
0.0413,0.0514,0.0272,0.0086,0.10895361,water
0.0412,0.0504,0.0281,0.0086,0.10043667,water
0.0409,0.0505,0.0275,0.0091,0.105032854,water
0.0417,0.0516,0.0282,0.0092,0.10610932,water
0.0421,0.0534,0.0292,0.0093,0.118324585,water
0.042,0.0528,0.0287,0.0109,0.11392406,water
0.0419,0.0533,0.0302,0.0107,0.11974789,water
0.0431,0.0516,0.0291,0.0109,0.08975715,water
0.043,0.0519,0.029,0.011,0.09378291,water
0.0436,0.0513,0.0291,0.0111,0.081138045,water
0.0435,0.0509,0.029,0.0114,0.07838985,water
